"","subject","sex","age","session","trial","condition","baited_side","interest_period","max_x","min_x","median_x","mean_x","baitedX"
"106","Arko3","m","19",2,11,"p+g","r","baiting",274.04,175.74,204.82,210.657365853659,175.74
"107","Arko3","m","19",2,11,"p+g","r","bowl_displacement",285.08,132.56,210.72,200.048278145695,132.56
"108","Arko3","m","19",2,11,"p+g","r","choice",384.09,4.2,203.125,196.684558823529,4.2
"109","Arko3","m","19",2,11,"p+g","r","signaling",240.12,134.92,163.745,166.704102564103,134.92
"110","Arko3","m","19",2,12,"p+g","l","addressing",127.73,116.29,122.01,122.377272727273,127.73
"111","Arko3","m","19",2,12,"p+g","l","baiting",152.13,94.95,118.45,120.8465,152.13
"112","Arko3","m","19",2,12,"p+g","l","bowl_displacement",237.45,42.2,128.36,124.666783216783,237.45
"113","Arko3","m","19",2,12,"p+g","l","choice",285.63,12.05,99.83,117.206629213483,285.63
"114","Arko3","m","19",2,12,"p+g","l","signaling",238.71,78.55,180.09,174.931826923077,238.71
"115","Arko3","m","19",2,13,"control","r","addressing",123.19,103.72,115.65,114.229,103.72
"116","Arko3","m","19",2,13,"control","r","baiting",152.5,47.5,76.11,78.2701595744681,47.5
"117","Arko3","m","19",2,13,"control","r","bowl_displacement",185.81,8.38,71.22,72.3115894039735,8.38
"118","Arko3","m","19",2,13,"control","r","choice",166.86,0.91,120.775,112.014411764706,0.91
"119","Arko3","m","19",2,13,"control","r","signaling",131.93,109.37,118.06,119.371428571429,109.37
"120","Arko3","m","19",2,14,"p+g","l","addressing",162.89,145.01,153.87,153.679411764706,162.89
"121","Arko3","m","19",2,14,"p+g","l","baiting",162.16,92.46,144.52,135.445882352941,162.16
"122","Arko3","m","19",2,14,"p+g","l","bowl_displacement",184.63,85.48,125.05,127.260694444444,184.63
"123","Arko3","m","19",2,14,"p+g","l","choice",289.55,112.15,140.07,170.27022556391,289.55
"124","Arko3","m","19",2,14,"p+g","l","signaling",239.88,27.38,188.6,150.503658536585,239.88
"125","Arko3","m","19",2,15,"p+g","r","addressing",142.01,93.32,126.79,120.216470588235,93.32
"126","Arko3","m","19",2,15,"p+g","r","baiting",146.84,86.63,115.66,113.821570680628,86.63
"127","Arko3","m","19",2,15,"p+g","r","bowl_displacement",182.92,45.53,108.575,104.105972222222,45.53
"128","Arko3","m","19",2,15,"p+g","r","choice",164.87,41.93,140.72,133.372083333333,41.93
"129","Arko3","m","19",2,15,"p+g","r","signaling",196.87,50.56,84.425,98.8536842105263,50.56
"130","Diara","f","23",1,1,"throwing","l","addressing",351.17,250.15,256.8,265.95,351.17
"131","Diara","f","23",1,1,"throwing","l","baiting",313.14,186.18,234.28,230.070580204778,313.14
"132","Diara","f","23",1,1,"throwing","l","bowl_displacement",432,95.2,255.285,250.5468,432
"133","Diara","f","23",1,1,"throwing","l","choice",245.52,97.03,177.41,174.404666666667,245.52
"134","Diara","f","23",1,1,"throwing","l","signaling",317.16,143.18,219.12,222.742285714286,317.16
"135","Diara","f","23",1,2,"throwing","l","addressing",261.2,223.89,246.81,246.525970149254,261.2
"136","Diara","f","23",1,2,"throwing","l","baiting",405.11,209.07,248.6,256.273926701571,405.11
"137","Diara","f","23",1,2,"throwing","l","bowl_displacement",446.25,207.48,260.78,267.666279069767,446.25
"138","Diara","f","23",1,2,"throwing","l","choice",636.41,89.34,198.92,214.749479166667,636.41
"139","Diara","f","23",1,2,"throwing","l","signaling",396.84,116.37,233.825,254.158823529412,396.84
"140","Diara","f","23",1,3,"control","r","addressing",216.18,204.77,211.62,211.560714285714,204.77
"141","Diara","f","23",1,3,"control","r","baiting",404.82,173.11,237.98,251.40216080402,173.11
"142","Diara","f","23",1,3,"control","r","bowl_displacement",444.39,199.64,226.665,245.754482758621,199.64
"143","Diara","f","23",1,3,"control","r","choice",248.3,78.99,198.9,184.39953125,78.99
"144","Diara","f","23",1,3,"control","r","signaling",221.97,213.26,217.87,217.995714285714,213.26
"145","Diara","f","23",1,4,"throwing","r","addressing",327.29,313.65,323.31,323.049333333333,313.65
