"","subject.x","session","trial","condition","transition_category","n","transition_binary"
"372","Juna",1,4,"throwing","Hand-Correct Bowl",0,0
"373","Juna",1,5,"throwing","Face-Hand",0,0
"374","Juna",1,5,"throwing","Face-Correct Bowl",0,0
"375","Juna",1,5,"throwing","Hand-Correct Bowl",0,0
"376","Juna",1,6,"throwing","Face-Hand",0,0
"377","Juna",1,6,"throwing","Face-Correct Bowl",0,0
"378","Juna",1,6,"throwing","Hand-Correct Bowl",0,0
"379","Juna",1,7,"throwing","Face-Hand",0,0
"380","Juna",1,7,"throwing","Face-Correct Bowl",0,0
"381","Juna",1,7,"throwing","Hand-Correct Bowl",0,0
"382","Juna",1,8,"control","Face-Hand",0,0
"383","Juna",1,8,"control","Face-Correct Bowl",0,0
"384","Juna",1,8,"control","Hand-Correct Bowl",0,0
"385","Juna",1,9,"pointing","Face-Hand",0,0
"386","Juna",1,9,"pointing","Face-Correct Bowl",0,0
"387","Juna",1,9,"pointing","Hand-Correct Bowl",0,0
"388","Juna",1,10,"pointing","Face-Hand",0,0
"389","Juna",1,10,"pointing","Face-Correct Bowl",0,0
"390","Juna",1,10,"pointing","Hand-Correct Bowl",0,0
"391","Juna",1,11,"pointing","Face-Hand",0,0
"392","Juna",1,11,"pointing","Face-Correct Bowl",0,0
"393","Juna",1,11,"pointing","Hand-Correct Bowl",0,0
"394","Juna",1,12,"pointing","Face-Hand",1,1
"395","Juna",1,12,"pointing","Face-Correct Bowl",0,0
"396","Juna",1,12,"pointing","Hand-Correct Bowl",0,0
"397","Juna",1,13,"control","Face-Hand",0,0
"398","Juna",1,13,"control","Face-Correct Bowl",0,0
"399","Juna",1,13,"control","Hand-Correct Bowl",0,0
"400","Juna",1,14,"pointing","Face-Hand",1,1
"401","Juna",1,14,"pointing","Face-Correct Bowl",0,0
"402","Juna",1,14,"pointing","Hand-Correct Bowl",0,0
"403","Juna",1,15,"pointing","Face-Hand",1,1
"404","Juna",1,15,"pointing","Face-Correct Bowl",0,0
"405","Juna",1,15,"pointing","Hand-Correct Bowl",0,0
"406","Juna",2,1,"p+g","Face-Hand",0,0
"407","Juna",2,1,"p+g","Face-Correct Bowl",0,0
"408","Juna",2,1,"p+g","Hand-Correct Bowl",0,0
"409","Juna",2,2,"p+g","Face-Hand",0,0
"410","Juna",2,2,"p+g","Face-Correct Bowl",0,0
"411","Juna",2,2,"p+g","Hand-Correct Bowl",0,0
"412","Juna",2,3,"control","Face-Hand",0,0
"413","Juna",2,3,"control","Face-Correct Bowl",0,0
"414","Juna",2,3,"control","Hand-Correct Bowl",0,0
"415","Juna",2,4,"p+g","Face-Hand",0,0
"416","Juna",2,4,"p+g","Face-Correct Bowl",0,0
"417","Juna",2,4,"p+g","Hand-Correct Bowl",0,0
"418","Juna",2,5,"p+g","Face-Hand",0,0
"419","Juna",2,5,"p+g","Face-Correct Bowl",0,0
"420","Juna",2,5,"p+g","Hand-Correct Bowl",0,0
"421","Juna",2,6,"p+g","Face-Hand",0,0
"422","Juna",2,6,"p+g","Face-Correct Bowl",0,0
"423","Juna",2,6,"p+g","Hand-Correct Bowl",0,0
"424","Juna",2,7,"p+g","Face-Hand",0,0
"425","Juna",2,7,"p+g","Face-Correct Bowl",0,0
"426","Juna",2,7,"p+g","Hand-Correct Bowl",0,0
"427","Juna",2,8,"control","Face-Hand",0,0
"428","Juna",2,8,"control","Face-Correct Bowl",0,0
"429","Juna",2,8,"control","Hand-Correct Bowl",0,0
"430","Juna",2,9,"gazing","Face-Hand",0,0
"431","Juna",2,9,"gazing","Face-Correct Bowl",0,0
"432","Juna",2,9,"gazing","Hand-Correct Bowl",0,0
"433","Juna",2,10,"gazing","Face-Hand",0,0
"434","Juna",2,10,"gazing","Face-Correct Bowl",0,0
"435","Juna",2,10,"gazing","Hand-Correct Bowl",0,0
"436","Juna",2,11,"gazing","Face-Hand",0,0
"437","Juna",2,11,"gazing","Face-Correct Bowl",0,0
"438","Juna",2,11,"gazing","Hand-Correct Bowl",0,0
"439","Juna",2,12,"gazing","Face-Hand",0,0
"440","Juna",2,12,"gazing","Face-Correct Bowl",0,0
"441","Juna",2,12,"gazing","Hand-Correct Bowl",0,0
"442","Juna",2,13,"control","Face-Hand",0,0
"443","Juna",2,13,"control","Face-Correct Bowl",0,0
"444","Juna",2,13,"control","Hand-Correct Bowl",0,0
"445","Juna",2,14,"gazing","Face-Hand",0,0
"446","Juna",2,14,"gazing","Face-Correct Bowl",0,0
"447","Juna",2,14,"gazing","Hand-Correct Bowl",0,0
"448","Juna",2,15,"gazing","Face-Hand",0,0
"449","Juna",2,15,"gazing","Face-Correct Bowl",0,0
"450","Juna",2,15,"gazing","Hand-Correct Bowl",0,0
"451","Riu",1,1,"gazing","Face-Hand",0,0
"452","Riu",1,1,"gazing","Face-Correct Bowl",0,0
"453","Riu",1,1,"gazing","Hand-Correct Bowl",0,0
"454","Riu",1,2,"gazing","Face-Hand",1,1
"455","Riu",1,2,"gazing","Face-Correct Bowl",0,0
"456","Riu",1,2,"gazing","Hand-Correct Bowl",0,0
"457","Riu",1,3,"control","Face-Hand",0,0
"458","Riu",1,3,"control","Face-Correct Bowl",0,0
"459","Riu",1,3,"control","Hand-Correct Bowl",0,0
"460","Riu",1,4,"gazing","Face-Hand",0,0
